30,000-Year White Turtle             | Turtle
Air Marmot of Nefariousness          | Animal, Special-B
Akakieisu                            | Dark Magic, Dark Spellcaster
Amazon of the Seas                   | Female
Ancient Brain                        | Dark Magic, Special-A
Ancient Elf                          | Elf, Female
Ancient Jar                          | Jar
Ancient One of the Deep Forest       | Animal
Ancient Sorceror                     | Dark Magic, Dark Spellcaster
Angelwitch                           | Dark Magic, Dark Spellcaster, Female, Special-A
Ansatsu                              | Dark Magic
Aqua Dragon                          | Dragon
Arlownay                             | Female
Armaill                              | Pyro
Armored Rat                          | Animal
Beautiful Beast Trainer              | Female
Beautiful Headhuntress               | Dark Magic, Female
Blackland Fire Dragon                | Dark Magic
Blast Juggler                        | Pyro
Blue-winged Crown                    | Special-D
Boo Koo                              | Special-C
Boulder Tortoise                     | Turtle
Burglar                              | Animal
Candle of Fate                       | Pyro
Castle of Dark Illusions             | Dark Magic
Catapult Turtle                      | Turtle
Celtic Guardian                      | Elf
Charubin the Fire Knight             | Warrior
Cosmo Queen                          | Female
Crab Turtle                          | Turtle
Crawling Dragon #2                   | Dragon
Curtain of the Dark Ones             | Dark Magic, Dark Spellcaster
Dancing Elf                          | Elf, Female, Special-A
Dark Elf                             | Dark Magic, Dark Spellcaster, Elf, Female
Dark Gray                            | Animal
Dark King of the Abyss               | Dark Magic
Dark Magician                        | Dark Magic, Dark Spellcaster
Dark Prisoner                        | Dark Magic
Dark Rabbit                          | Special-B
Dark Titan of Terror                 | Dark Magic
Dark Witch                           | Female, Special-A
Darkfire Dragon                      | Pyro
Dissolverock                         | Pyro
Dragon Piper                         | Jar
Dragon Statue                        | Dragon
Dragon Zombie                        | Dragon
Dryad                                | Female
Eldeen                               | Dark Magic, Dark Spellcaster, Female
Embryonic Beast                      | Special-B
Empress Judge                        | Female
Enchanting Mermaid                   | Female
Exodia the Forbidden                 | Dark Magic, Dark Spellcaster
Faith Bird                           | Special-D
Feral Imp                            | Special-B
Fire Kraken                          | Pyro
Fire Reaper                          | Pyro
Firegrass                            | Pyro
